"Position","Review","Date","X","df_P5$Date <- ..."
81,"Posted:","16-Dec-22","I just wish i could live in this game.","2022-12-16"
82,"Posted:","29-Dec-22","Denuvo bad.","2022-12-29"
83,"Posted:","25-Oct-22","This game will consume your soul. Be prepared to sacrifice 100+ hours of your life to complete this monster of a game. If you are looking for a girlfriend, you will find it in this game. Best of luck!","2022-10-25"
84,"Posted:","8-Dec-22","Product received for free ______________________________ ______________________________ ______________________________ ______________________________ ______________________________ ______________________________ ______________________________ ______________________________ ______________________________ ______________________________ ______________________________ ______________________________ ______________________________ ______________________________ mfw you can't romance sae nijima.","2022-12-08"
85,"Posted:","26-Nov-22","It took years of waiting and enduring owning a Playstation but wanting to play this game at high framerates, but it's finally here, and damn was it worth the wait. The Royal Edition comes with extra content, a revision of everything, new confidants, and an expansion to the finale of the game. The game is peak JRPG with a turn-based fighting system using a ""Persona"", powers similar to stands from Jojo. Strongly suggested if you're looking for a long game with a vivid world and a wonderfully written story. No matter how you want to play, it will be a long game, but it's worth the time! The Daily Life There are a lot of JRPGs out there, and while this refines most of the genre mechanics, that is not what makes it unique. In Persona, say that the story lasts for 6 months: you'll play each and every single day. Sure, you could rush through a day by spending it at home and going to sleep early, but you still have to play it. During weekdays the character will go to school, and after school and evenings are two moments you could do any activity of your choosing. From going around in the world doing errands to going out with a friend. There is no way to skip days as things like school are mandatory and automatic, we wouldn't want you to skip school now, would we? Each day has unique events attached to it for example: meeting people at the train stop, being able to take a seat on the train to read, or moments in class where you might be asked questions about a topic that if answered correctly will level up knowledge. Afternoons and evenings can be spent with confidants available on that day, activities available to the player, or simply home watching a DVD that will level up your social stats. Going out with confidants will level them up, and the more levels you have with each confidant the more abilities they offer you. Although there are bad responses to the confidants, just going out again will compensate for that. I want to put extra emphasis on the confidants, as they have a very good story that goes on during multiple get-togethers and gives them purpose and resolve. Honestly one of the best parts of the game for me. Very early in the game, it's important to learn how to treasure the free time and use it smartly, because there is a counted set of days, and after that, the game won't continue. HUD I'm one of those players whose first few hours in a game are spent constantly going to the settings page, especially to disable UI components I don't deem necessary. I enjoy games with a great UI design, and that use their space in a smart way instead of overwhelming the player leaving little of the game on screen, good UI can do a lot with little, see games like Elden Ring, Breath of the Wild and Shadow of the Colossus. As someone who pays a lot of attention to UX design, this game is just on another level. Not only it's somewhat minimal, greatly themed, and overall functional, but it's almost part of the 3D space. Even teleporting or loading is just beautiful to look at! It's used very smartly, and I would love to learn more about how they achieved results like at the end-of-fight screen where the UI goes behind the character, great use of it! It is genuinely nice to look at as it fits the game perfectly. It's not perfect, something like the clock and calendar could fade off after a bit during dungeons and some of the menus have settings a bit too deep in them not making it intuitive to find, but, overall, one of the best UIs I've ever seen! Peak JRPG While this title game is the best I've seen from JRPGs, I don't want to give the idea this game is perfect. I entered having a general idea of what to expect from the game but not knowing what I was getting into 100%. Thing is, this game improves on a lot of factors of the genre, but it also clutches to some kinks the genre always had. Know if you're going to play this game you have to be in for a lot of reading. Many hours of gameplay, outside of dungeons, could be played in minutes by skipping dialogues, and, most of the text is not dubbed, which is understandable considering the volume of it. On top of this, most of the actual gameplay happens inside ""dungeons"". While they are extremely well done, interesting to play through, better than they ever have been in Persona, and improved in Royal, on a gameplay level they are quite flat. The exploration is down to the bone mostly done with interactions, and it's perfectly fine, especially when the game excels in other parts of the explorations like puzzles. I would have enjoyed being able to jump on command instead of looking for where the interaction is with the special vision filter. I found myself looking around with the vision more than I would like because a ledge that would be normally reachable since it's not meant to be climbed on it's impossible to do. Most of the fighting can be summed up as looking for the weakness of the enemy and using it against them, be it a specific element or a combination of a status plus element. The game is not afraid of performing damage checks and using numbers in the most frustrating way to create a challenge, especially in two moments of the story. There are good challenges that actually require you to plan your attacks accordingly, and then there is just plain frustration. I mention this as one of the main bosses acts almost as a wall for players, and I think while the idea for the fight was good, the execution was just plain bad. I got there extremely prepared, I can't imagine what a nightmare it would be not being ready for this fight the games does nothing to prepare you for. A Royal Update A bit like Nier Replicant 1.2_, in Royal, Atlus has revised everything. Dungeons have a different layout, there are more confidants, more days, a different ending, and the more the merrier. It also offers more days to get things done and an extensive different finale, but it requires two confidants to be maxed out, which means speeding through the game is going to take a lot away from the experience, finale included. From PS3 to PC The game runs relatively smoothly, but don't trust the minimum requirements. Thing is, the game runs on an engine that was meant for PS3, which is why every area is separated by a loading screen, although smartly integrated. The game suffers on an engine level, no matter the hardware. Many NPC on the screen will kill performances, although it might be using 20% of the hardware. There are mods that allow the removal of background NPCs, for example, but in general, consider having better hardware than the suggested one or modding. On my hardware, the game ran mostly at 120fps, but there were moments where simply approaching a part of a city where the camera goes further away and more is loaded in that would drop it down to 60 sometimes while my hardware was not struggling at all. I assume it's probably a draw call problem as I've seen the same on Skyrim, which is also a game with the backbone of a PS3-era title, and at the time there was less room for draw calls. Talking of the game being PS3 era, some of the textures are so too. And it's sad to see Atlus not even passing them through some AI upscale to get a bit more resolution in them, especially when some things are used extensively throughout the dungeon. The AA is the worst I've seen in a long time. It's not aliasing anything. Everything in the game is extra jaggy and the only solution I found is increasing the internal resolution to almost 200%. That way you're generating so many pixels the AA has more to work with and looks better, but that kills the performance, so there's a tradeoff in both cases. Conclusion Overall the game is worth the money and time and it's a great experience if you like the genre, but while it improves on it I think a bit more could have been done to make it even more outstanding. Strongly suggested. 8.9/10","2022-11-26"
86,"Posted:","21-Oct-22","A game so good that I bought it 3 times","2022-10-21"
87,"Posted:","27-Oct-22","god bless atlus","2022-10-27"
89,"Posted:","21-Oct-22","Good game, a good port even. Wait until they remove denuvo or at least fix the way it's implemented because it ruins the game's performance. Freezes that take 5 seconds and insane fps drops in open areas that I didn't experience even with the ps3 emulator.","2022-10-21"
90,"Posted:","21-Oct-22","Ever since I first played the original Persona 5 on my PS4 back in 2019, it has been one of my favorite JRPGs right alongside classics like Chrono Trigger and FF7. I consider it to be one of the finest games of this genre ever made. From the incredible music and presentation to the captivating story and characters, nearly every aspect of the game is flawless. Persona 5 Royal adds extra content and polishing over the base game and makes the whole deal sweeter by also including all DLCs released. It's almost a miracle to experience it on PC now away from the shackles of a single platform. On a more technical side, the PC port is excellent. Runs at a flawless 120fps at 4K and the KB+M controls are well thought out. Not much more I could ask from Atlus really. If you're a JRPG fan, you'll absolutely love Persona 5. If you're not, this just might be the game to convert you.","2022-10-21"
91,"Posted:","21-Oct-22","Banger soundtrack Unmatched style Great story Makes me feel like I actually have friends 10/10","2022-10-21"
92,"Posted:","21-Dec-22","Like my reviews? Go follow my Curator page. It's showtime Despite the longstanding history of Atlus's Shin Megami Tensei series, the games didn't seem to find success with mainstream audiences until the Persona spinoff games released. 5, in particular, had so much widespread hype that it is a common joke about fans of Persona 5 is that they haven't even played it. This hype also applied to critics, who have called this Persona 5 one of the best RPGs ever, with the Royal version only solidifying that claim. Is it one of the best RPGs of all time? I'm not sure I'd go that far, but I would certainly call it one of the better RPGs of the last decade. Graphics What Persona 5 Royal lacks in technical prowess, it makes up for by being one of the best-looking games ever purely from a stylistic perspective. The UI absolutely oozes charm, and is remarkably easy to follow. This loud and flashy presentation absolutely could've made it difficult to follow along with the game in general, but there's so much detail and depth that I found it quite easy to tell where I was in the midst of menus. Another big area where this game excels is in its character designs. The equally flashy outfits your Metaverse-hopping party wears are also representative of their character arcs in subtle ways. For example, the character with the hardest exterior has spikes on her pauldrons, or the intelligent, watchful character wears the mask of a crow. All of these little details really add up, and it's easy for the confidence of the presentation to start rubbing off on the player. This game is not the benchmark for visual presentation, because it goes so far beyond the benchmark that no other game could really compete. Gameplay The biggest improvement P5R has over its predecessor is in its gameplay. Gone are the days of randomly-generated dungeons (for the most part), and combat has been both sped up and expanded upon in ways that ensure that you never get bored. At the same time, the core gameplay loop remains intact. The game is split into two parts: a dungeon crawling, monster-collecting JRPG and what is essentially a visual novel. It juggles the balance between those two areas quite nicely, and new mechanics are given out at pretty reasonable rates. The dungeons are significantly more enjoyable to go through compared to 4, however I wouldn't call them great by any means. I think 4's dungeons were one of the game's biggest issues because they felt like slogs to get through, so the bar wasn't high to begin with. The dungeons are victim to a more egregious issue with this game that I will expand upon in the story section, but otherwise they're passable for the most part. The quality of life improvements, plus the new attack types are all very welcome additions that expand upon the weakness-exploiting core of combat. Of course, there's been some streamlining done on the less action-packed side of the game. It's very easy to identify who is available to hang out with each day, and I'm a big fan of the function that tells you what other people did that day. You'll also have plenty of time to max out your confidants, and the game does a great job of pointing out the confidant deadlines for characters that are especially relevant to the plot and may influence your ending. Story I do love this game, but this is unfortunately the game's weak point, which is a major issue for what is supposed to be a very story-driven game. The main distinction with the Persona series compared to the SMT series is the former's emphasis on characters as opposed to the latter's emphasis on themes. I would consider Persona 4 to have one of the best RPG casts ever, and unfortunately 5 does not quite live up to that for me. The characters aren't bad by any means - their arcs are believable and fun to watch for the most part (barring Morgana, who is only slightly less insufferable than 4's Teddie). However, something I noticed is that main characters are very quickly sidelined to introduce new ideas, and some of them very much dominate scenes over others. The antagonists aren't much better. The manner in which the main characters, the Phantom Thieves, attempt to change society has a lot of interesting ethical implications that don't really get expanded upon (besides in the Royal content) because the game chooses to make most of the antagonists irredeemably, almost comically evil. I don't mind when completely evil antagonists, but this game really wants you to hate almost all of them and only managed to succeed with the first one. And how does this game try to get the player to hate these baddies? With Royal's biggest issue: the incredibly repetitive dialogue! You will sit through several minutes of conversations where characters repeat things that were already established several hours ago, or try to make a ""grand"" reveal about things that were blatantly obvious. This game's insane length is primarily due to this issue. Dungeons are bogged down by characters saying things like ""What is that on the wall? Is that a slot for a keycard? I think it is! That must mean there's a keycard nearby. Where do you think the keycard is? Oh, maybe it's that glowing thing over there making a sound effect! Joker, let's go get that keycard!"" Most of the villains will tell you how evil they are, but I can't bring myself to care about anything they're saying because it's very obvious and there's nothing to show for it. This issue is especially noticeable because of the antagonists that don't fit that bill are some of the most interesting characters in the game. I did like most of the main story, I just wasn't a fan of how a lot of characters were handled or the equally terrible and repetitive writing that plagues most of the game. The Royal content absolutely saves this game (the antagonist especially), but also really highlights how much better this story could've been. Audio Thankfully, while the writing isn't great, the voice acting definitely is. The characters are really brought to life by their performances. Akechi, Maruki, Ryuji, and Ann are all major highlights here. The soundtrack is also incredible, and there are a few tracks that I've added to my Spotify playlists, which is a feat in itself because I usually hate adding video game music to my playlists. I wish I had more to say here, but this was always an area this series excelled in and this game is no different. Content Value Persona 5 is too long. The bloat lies in the insanely repetitive dialogue, and I think skipping through some of the pointless stuff is the sole reason I finished this in under 100 hours. That said, if that bloat was cut, there would still be more than enough content to warrant a $60 purchase. Again, this is a series norm so of course it's worth full price, I just think it went a little overboard this time. Verdict Ultimately, I think Persona 5 Royal is a stellar game with some stratospheric highs and some disappointing lows. I did end up loving my time with the game, but I wanted to emphasize my criticisms for this review as opposed to parroting the praises of the game's incredible strengths. It's bloated, messily-written, and wastes the potential of multiple characters, but it still stole my heart, and will likely steal yours too. Graphics - 5/5 Gameplay - 4/5 Story - 3/5 Audio - 5/5 Content Value - 4/5 .:9.0/10:. ""Amazing"" + Incredible visual presentation + Great character designs & performances + Amazing soundtrack + Fun & addictive gameplay loop + Lots of QoL improvements - Repetitive & poor writing bloats the game length - Mishandles multiple characters","2022-12-21"
93,"Posted:","21-Oct-22","Knocked 'em right off their feet! Nice, Joker!","2022-10-21"
94,"Posted:","23-Oct-22","Product refunded Seems like a really good game but it is literally unplayable for me at the moment. The game completely freezes/crashes whenever I enter an area with a lot of npc's. I have no idea what is causing this issue cause I am above recommended specs and have tried all the usual fixes. A friend told me that my issue could have to do with the denuvo DRM. Ill change the review to positive the second they fix the game but for now I cant recommend it.","2022-10-23"
95,"Posted:","8-Nov-22","After finally completing this game i can say it's an improvement to an already brilliant game. Only downsides to this version is that it's even easier than the original game but the new semester, QOL, Social Links/Confidants and Combat changes were fun and made up for it. It's a fun casual experience with great characters and intriguing story well worth every penny. A brilliant port and the best way to play Persona 5 Royal imo as you can play it at home on PC or on the go with the Steam Deck.","2022-11-08"
96,"Posted:","21-Oct-22","I love this game, it's one of my all-time favorite games ever. THAT BEING SAID, I immediately regret buying this version due to 1 thing: DENUVO DRM ____ DRM, all it does is make the game THAT I BOUGHT harder to play. Currently, despite being Steam Deck Verified, the game DOES NOT work on Linux via Proton. It ONLY runs on the Steam Deck's SteamOS Linux distro. Denuvo also limits you to only being able to be verified 5 times per 24-hour period. Screw you if you wanna play 6 times in a day! Buy this game on PS4 if you can, the game itself is AMAZING (I've played it twice for 300+ hours on PS4) but the DRM ruins it on PC.","2022-10-21"
97,"Posted:","27-Oct-22","Persona 5 is truly one of the greats, if you have even the vaguest interest in jrpgs, graphic novels, anime, or perhaps even mystery games, then this is one you should play if you haven't already. Its one of those rare times where a piece of media has both Style AND Substance oozing out of it with its impeccably stylish presentation with swooping interface, and its quite the bang for your buck too. you can easily get between 60-100 hours out of this your first time around. and it even has replayability! 10/10 for being, 1am and i was trying to get to sleep by 11pm and im forcing myself to close the game, and still ended up taking time to wright this review out of the blue when i checked that i already had 28 hours logged in the game in just 2 or 3 sessions.","2022-10-27"
98,"Posted:","21-Oct-22","Runs at a solid 60 on Steam Deck.","2022-10-21"
100,"Posted:","21-Oct-22","Man, this is just a rock solid port. Absolutely amazing so far with literally 0 issues encountered thus far. I only have one teensy gripe and that is that I wish it had ultrawide support. That's not really an issue though as much as just a feature I'd like to have. Already played it on the PS4 but never got around to beating it because I kind of gave up on my PS4. So I am familiar with a bit of the game and can highly recommend it. However I will drop a full blown review for this later on when I rack up some more hours. But anyway, it's Persona 5. Fantastic game. Amazing soundtrack. It's just... so damn good.","2022-10-21"
